strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
aSMFRx,Rana muscosa,Southern Mountain Yellow-legged Frog,19177,Rana muscosa,Southern Mountain Yellow-legged Frog,EN,decreasing,match,match,matchmatch
aSMGSx,Plethodon meridianus,South Mountain Gray-cheeked Salamander,59347,Plethodon meridianus,South Mountain Gray-cheeked Salamander,VU,stable,match,match,matchmatch
aSMSAx,Eurycea nana,San Marcos Salamander,8391,Eurycea nana,San Marcos Salamander,VU,stable,match,match,matchmatch
aSMSSx,Batrachoseps luciae,Santa Lucia Mountains Slender Salamander,59127,Batrachoseps luciae,Santa Lucia Mountains Slender Salamander,LC,stable,match,match,matchmatch
aSOASx,Plethodon teyahalee,Southern Appalachian Salamander,59356,Plethodon teyahalee,Southern Appalachian Salamander,LC,stable,match,match,matchmatch
aSODSx,Desmognathus auriculatus,Southern Dusky Salamander,59245,Desmognathus auriculatus,Southern Dusky Salamander,LC,stable,match,match,matchmatch
aSOFRx,Pseudacris nigrita,Southern Chorus Frog,55894,Pseudacris nigrita,Southern Chorus Frog,LC,stable,match,match,matchmatch
aSOTOx,Anaxyrus terrestris,Southern Toad,54777,Anaxyrus terrestris,Southern Toad,LC,stable,match,match,matchmatch
aSPCFx,Eleutherodactylus guttilatus,Spotted Chirping Frog,56643,Eleutherodactylus guttilatus,Spotted Chirping Frog,LC,unknown,match,match,matchmatch
aSPOSx,Ambystoma maculatum,Spotted Salamander,59064,Ambystoma maculatum,Spotted Salamander,LC,stable,match,match,matchmatch
aSPPEx,Pseudacris crucifer,Spring Peeper,55892,Pseudacris crucifer,Spring Peeper,LC,stable,match,match,matchmatch
aSPRSx,Gyrinophilus porphyriticus,Spring Salamander,59282,Gyrinophilus porphyriticus,Spring Salamander,LC,stable,match,match,matchmatch
aSQSAx,Plethodon sequoyah,Sequoyah Slimy Salamander,59353,Plethodon sequoyah,Sequoyah Slimy Salamander,DD,unknown,match,match,matchmatch
aSSLSx,Batrachoseps kawia,Sequoia Slender Salamander,59126,Batrachoseps kawia,Sequoia Slender Salamander,DD,unknown,match,match,matchmatch
aSSSSx,Batrachoseps incognitus,San Simeon Slender Salamander,59125,Batrachoseps incognitus,San Simeon Slender Salamander,DD,unknown,match,match,matchmatch
