jenkBINOMIAL,Jend,matchType,gapSppCode,gapSciName,gapComName,iucnTaxonID,iucnSciName,iucnComName
Kinosternon baurii,1,Matched on iucnSciName,rSTMTx,Kinosternon baurii,Striped Mud Turtle,163429,Kinosternon baurii,Striped Mud Turtle
Kinosternon subrubrum,1,Matched on iucnSciName,rEMDTx,Kinosternon subrubrum,Eastern Mud Turtle,163435,Kinosternon subrubrum,Eastern Mud Turtle
Lampropeltis calligaster,1,Matched on iucnSciName,rYBKIx,Lampropeltis calligaster,Yellow-bellied Kingsnake,63826,Lampropeltis calligaster,Yellow-bellied Kingsnake
Macrochelys temminckii,1,Matched on iucnSciName,rASTUx,Macrochelys temminckii,Alligator Snapping Turtle,12589,Macrochelys temminckii,Alligator Snapping Turtle
Malaclemys terrapin,1,Matched on iucnSciName,rDBTEx,Malaclemys terrapin,Diamond-backed Terrapin,12695,Malaclemys terrapin,Diamondback Terrapin
Neoseps reynoldsi,1,Matched on iucnSynonym (Plestiodon reynoldsi),rFSSKx,Plestiodon reynoldsi,Florida Sand Skink,14564,Plestiodon reynoldsi,Florida Sand Skink
Nerodia cyclopion,1,Matched on iucnSciName,rMSWAx,Nerodia cyclopion,Mississippi Green Watersnake,63853,Nerodia cyclopion,Mississippi Green Water Snake
Nerodia floridana,1,Matched on iucnSciName,rFGWAx,Nerodia floridana,Florida Green Watersnake,63855,Nerodia floridana,Florida Green Water Snake
Nerodia harteri,1,Matched on iucnSciName,rBRVWx,Nerodia harteri,Brazos River Watersnake,62238,Nerodia harteri,Brazos River Watersnake
Nerodia paucimaculata,1,Matched on iucnSciName,rCOWAx,Nerodia paucimaculata,Concho Watersnake,14631,Nerodia paucimaculata,Concho Water Snake
Nerodia taxispilota,1,Matched on iucnSciName,rBRWAx,Nerodia taxispilota,Brown Watersnake,63857,Nerodia taxispilota,Brown Water Snake
Ophisaurus attenuatus,1,Matched on iucnSciName,rSGLIx,Ophisaurus attenuatus,Slender Glass Lizard,63716,Ophisaurus attenuatus,Slender Glass Lizard
Ophisaurus compressus,1,Matched on iucnSciName,rIGLIx,Ophisaurus compressus,Island Glass Lizard,63718,Ophisaurus compressus,Island Glass Lizard
Ophisaurus mimicus,1,Matched on iucnSciName,rMGLIx,Ophisaurus mimicus,Mimic Glass Lizard,63720,Ophisaurus mimicus,Mimic Glass Lizard
Ophisaurus ventralis,1,Matched on iucnSciName,rEGLIx,Ophisaurus ventralis,Eastern Glass Lizard,63721,Ophisaurus ventralis,Eastern Glass Lizard
Phrynosoma douglasii,1,Matched on iucnSciName,rPSHLx,Phrynosoma douglasii,Pygmy Short-horned Lizard,64075,Phrynosoma douglasii,Pygmy Short-horned Lizard
Pituophis melanoleucus,1,Matched on iucnSciName,rPINEx,Pituophis melanoleucus,Pinesnake,63873,Pituophis melanoleucus,Pine Snake
Pituophis ruthveni,1,Matched on iucnSciName,rLOPIx,Pituophis ruthveni,Louisiana Pinesnake,63874,Pituophis ruthveni,Louisiana Pine Snake
Plestiodon anthracinus,1,Matched on iucnSciName,rCOSKx,Plestiodon anthracinus,Coal Skink,64220,Plestiodon anthracinus,Coal Skink
Plestiodon egregius,1,Matched on iucnSciName,rMOSKx,Plestiodon egregius,Mole Skink,64226,Plestiodon egregius,Mole Skink
Plestiodon laticeps,1,Matched on iucnSciName,rBHSKx,Plestiodon laticeps,Broad-headed Skink,64231,Plestiodon laticeps,Broad-headed Skink
Plestiodon multivirgatus,1,Matched on iucnSciName,rMLSKx,Plestiodon multivirgatus,Many-lined Skink,64234,Plestiodon multivirgatus,Many-lined Skink
Pseudemys alabamensis,1,Matched on iucnSciName,rARBCx,Pseudemys alabamensis,Alabama Red-bellied Cooter,18458,Pseudemys alabamensis,Alabama Red-bellied Cooter
Pseudemys concinna,1,Matched on iucnSciName several times,rSUCOx,Pseudemys suwanniensis,Suwannee Cooter,163444,Pseudemys concinna,River Cooter
Pseudemys concinna,1,Matched on iucnSciName several times,rRICOx,Pseudemys concinna,River Cooter,163444,Pseudemys concinna,River Cooter
Pseudemys nelsoni,1,Matched on iucnSciName,rFRBCx,Pseudemys nelsoni,Florida Red-bellied Cooter,170495,Pseudemys nelsoni,Florida Red-bellied Cooter
Pseudemys peninsularis,1,Matched on iucnSciName,rPCOOx,Pseudemys peninsularis,Peninsula Cooter,170496,Pseudemys peninsularis,Peninsula Cooter
Pseudemys rubriventris,1,Matched on iucnSciName,rNRBCx,Pseudemys rubriventris,Northern Red-bellied Cooter,18460,Pseudemys rubriventris,Northern Redbelly Turtle
Pseudemys texana,1,Matched on iucnSciName,rTXCOx,Pseudemys texana,Texas Cooter,170497,Pseudemys texana,Texas Cooter
Regina alleni,1,Matched on iucnSynonym (Liodytes alleni),rSCSNx,Regina alleni,Striped Crayfish Snake,63884,Liodytes alleni,Striped Crayfish Snake
Regina grahamii,1,Matched on iucnSciName,rGCSNx,Regina grahamii,Graham's Crayfish Snake,63885,Regina grahamii,Graham's Crayfish Snake
Regina rigida,1,Matched on iucnSynonym (Liodytes rigida),rGCRSx,Regina rigida,Glossy Crayfish Snake,63886,Liodytes rigida,Crayfish Snake
Rhadinaea flavilata,1,Matched on iucnSciName,rPWLIx,Rhadinaea flavilata,Pine Woods Littersnake,63890,Rhadinaea flavilata,Pine Woods Littersnake
Rhineura floridana,1,Matched on iucnSciName,rFLWOx,Rhineura floridana,Florida Wormlizard,64219,Rhineura floridana,Florida Worm Lizard
Sceloporus arenicolus,1,Matched on iucnSciName,rDSALx,Sceloporus arenicolus,Dunes Sagebrush Lizard,64087,Sceloporus arenicolus,Dunes Sagebrush Lizard
Sceloporus woodi,1,Matched on iucnSciName,rFSLIx,Sceloporus woodi,Florida Scrub Lizard,64160,Sceloporus woodi,Florida Scrub Lizard
Seminatrix pygaea,1,Matched on iucnSynonym (Liodytes pygaea),rBLSSx,Seminatrix pygaea,Black Swampsnake,63916,Liodytes pygaea,Black Swamp Snake
Sistrurus miliarius,1,Matched on iucnSciName,rPRATx,Sistrurus miliarius,Pygmy Rattlesnake,64347,Sistrurus miliarius,Pygmy Rattlesnake
Sternotherus carinatus,1,Matched on iucnSciName,rRBMTx,Sternotherus carinatus,Razor-backed Musk Turtle,170492,Sternotherus carinatus,Razor-backed Musk Turtle
Sternotherus depressus,1,Matched on iucnSciName,rFLMTx,Sternotherus depressus,Flattened Musk Turtle,20824,Sternotherus depressus,Flattened Musk Turtle
Sternotherus minor,1,Matched on iucnSciName,rLMTUx,Sternotherus minor,Loggerhead Musk Turtle,170493,Sternotherus minor,Loggerhead Musk Turtle
Stilosoma extenuatum,1,Matched on iucnSynonym (Lampropeltis extenuata),rSTSNx,Lampropeltis extenuata,Short-tailed Snake,63927,Lampropeltis extenuata,Short-tailed Snake
Tantilla coronata,1,Matched on iucnSciName,rSESNx,Tantilla coronata,Southeastern Crowned Snake,63941,Tantilla coronata,Southeastern Crowned Snake
Tantilla oolitica,1,Matched on iucnSciName,rRRCSx,Tantilla oolitica,Rim Rock Crowned Snake,63954,Tantilla oolitica,Rim Rock Crowned Snake
Tantilla relicta,1,Matched on iucnSciName,rFCSNx,Tantilla relicta,Florida Crowned Snake,63956,Tantilla relicta,Florida Crowned Snake
Thamnophis atratus,1,Matched on iucnSciName,rAQGAx,Thamnophis atratus,Aquatic Gartersnake,63970,Thamnophis atratus,Pacific Coast Aquatic Garter Snake
Thamnophis brachystoma,1,Matched on iucnSciName,rSHGAx,Thamnophis brachystoma,Short-headed Gartersnake,63971,Thamnophis brachystoma,Short-headed Gartersnake
Thamnophis couchii,1,Matched on iucnSciName,rSIGAx,Thamnophis couchii,Sierra Gartersnake,63974,Thamnophis couchii,Western Aquatic Garter Snake
Thamnophis gigas,1,Matched on iucnSciName,rGIGAx,Thamnophis gigas,Giant Gartersnake,21706,Thamnophis gigas,Giant Garter Snake
Tropidoclonion lineatum,1,Matched on iucnSciName,rLISNx,Tropidoclonion lineatum,Lined Snake,63998,Tropidoclonion lineatum,Lined Snake
Uma inornata,1,Matched on iucnSciName,rCFTLx,Uma inornata,Coachella Fringe-toed Lizard,22727,Uma inornata,Coachella Valley Fringe-toed Lizard
Uma scoparia,1,Matched on iucnSciName,rMFTLx,Uma scoparia,Mohave Fringe-toed Lizard,64166,Uma scoparia,Mojave Fringe-toed Lizard
Virginia striatula,1,Matched on iucnSynonym (Haldea striatula),rROEAx,Virginia striatula,Rough Earthsnake,64002,Haldea striatula,Rough Earth Snake
Virginia valeriae,1,Matched on iucnSciName,rSMEAx,Virginia valeriae,Smooth Earthsnake,64003,Virginia valeriae,Smooth Earth Snake
Xantusia arizonae,1,Matched on iucnSciName,rANLIx,Xantusia arizonae,Arizona Night Lizard,64361,Xantusia arizonae,Arizona Night Lizard
Xantusia riversiana,1,Matched on iucnSciName,rINLIx,Xantusia riversiana,Island Night Lizard,23095,Xantusia riversiana,Island Night Lizard
