,Taxa,spp,huc,spp_pixel_count,spp_gs1_pixel_count,spp_gs2_pixel_count,spp_gs3_pixel_count,spp_gs4_pixel_count,spp_gs_total_check
247,R,rLISNx,102500170608,41946,0,0.0,0,41946.0,41946
248,R,rMILKx,102500170608,49262,0,0.0,0,49262.0,49262
249,R,rPLGAx,102500170608,9708,0,0.0,0,9708.0,9708
250,R,rSMSOm,102500170608,210,0,0.0,0,210.0,210
251,R,rTHLIx,102500170608,236,0,0.0,0,236.0,236
252,R,rWEWOx,102500170608,12279,0,0.0,0,12279.0,12279
253,R,rYBKIx,102500170608,48680,0,0.0,0,48680.0,48680
254,B,bATSPx,102500170607,18778,0,0.0,0,18778.0,18778
255,B,bBANOx,102500170607,54720,0,0.0,0,54720.0,54720
256,B,bBARSx,102500170607,20182,0,0.0,0,20182.0,20182
257,B,bBEVIx,102500170607,10862,0,0.0,0,10862.0,10862
258,B,bBLJAx,102500170607,11540,0,0.0,0,11540.0,11540
259,B,bBRBLx,102500170607,62338,0,0.0,0,62338.0,62338
260,B,bCAEGx,102500170607,18392,0,0.0,0,18392.0,18392
261,B,bCHSWx,102500170607,90769,0,0.0,0,90769.0,90769
262,B,bCLSWx,102500170607,75498,0,0.0,0,75498.0,75498
263,B,bCOGRx,102500170607,1234,0,0.0,0,1234.0,1234
264,B,bEABLx,102500170607,21687,0,0.0,0,21687.0,21687
265,B,bHASPx,102500170607,59188,0,0.0,0,59188.0,59188
266,B,bHOWRx,102500170607,43,0,0.0,0,43.0,43
267,B,bNOCAx,102500170607,14313,0,0.0,0,14313.0,14313
268,B,bRCSPx,102500170607,1,0,0.0,0,1.0,1
269,B,bRECRx,102500170607,4137,0,0.0,0,4137.0,4137
270,B,bROPIx,102500170607,3883,0,0.0,0,3883.0,3883
271,B,bSMLOx,102500170607,53683,0,0.0,0,53683.0,53683
272,B,bSPTOx,102500170607,10951,0,0.0,0,10951.0,10951
273,B,bWEMEx,102500170607,63995,0,0.0,0,63995.0,63995
274,B,bWITUx,102500170607,55196,0,0.0,0,55196.0,55196
275,B,bYBCHx,102500170607,780,0,0.0,0,780.0,780
276,M,mLEWEx,102500170607,5933,0,0.0,0,5933.0,5933
277,M,mNAROx,102500170607,19340,0,0.0,0,19340.0,19340
278,M,mNOSSx,102500170607,66341,0,0.0,0,66341.0,66341
279,M,mRINGx,102500170607,1774,0,0.0,0,1774.0,1774
280,M,mSBLEx,102500170607,58664,0,0.0,0,58664.0,58664
281,R,rCKINx,102500170607,7349,0,0.0,0,7349.0,7349
282,R,rGPSKx,102500170607,45440,0,0.0,0,45440.0,45440
283,R,rNWATx,102500170607,6226,0,0.0,0,6226.0,6226
284,R,rPATUx,102500170607,3178,0,0.0,0,3178.0,3178
285,R,rPOSLx,102500170607,3466,0,0.0,0,3466.0,3466
286,A,aBTISx,102500170601,189,0,0.0,0,189.0,189
287,B,bBCNHx,102500170601,806,0,0.0,0,806.0,806
288,B,bSOSPx,102500170605,31639,0,0.0,0,31639.0,31639
289,B,bYBCHx,102500170605,342,0,0.0,0,342.0,342
290,M,mEFSQx,102500170605,5229,0,0.0,0,5229.0,5229
291,M,mHOBAx,102500170605,30603,0,0.0,0,30603.0,30603
292,M,mHOMOx,102500170605,205,0,0.0,0,205.0,205
293,M,mLEWEx,102500170605,2787,0,0.0,0,2787.0,2787
294,M,mNALSx,102500170605,29838,0,0.0,0,29838.0,29838
