gapSppCode,gapComName,gapSciName,iucnTaxonID,iucnComName,iucnSciName,originUS,RedListStatus,PopulationTrend,iucnTrend,hucCount,meanPercUse,habBreadth,L2endemic,spp10p,Endemic,Group,Subgroup,potRare,Spp,totalSppPix,SppProt,SppPercProt
bGGOWx,Great Gray Owl,Strix nebulosa,22689118.0,Great Grey Owl,Strix nebulosa,Native,LC,increasing,0,5233,35.040119626446064,0,1,0,1,B,TR,1,bGGOWx,176270003,33792669,19
bGHOWx,Great Horned Owl,Bubo virginianus,61752071.0,Great Horned Owl,Bubo virginianus,Native,LC,stable,0,82715,98.98933176915348,0,0,0,0,A,A,0,bGHOWx,8906072309,635679781,7
bGIFLx,Gilded Flicker,Colaptes chrysoides,22681290.0,Gilded Flicker,Colaptes chrysoides,Native,LC,decreasing,1,1310,32.51614678754178,0,1,0,1,G,DD,1,bGIFLx,45731520,8904974,19
bGIWOx,Gila Woodpecker,Melanerpes uropygialis,22680853.0,Gila Woodpecker,Melanerpes uropygialis,Native,LC,stable,0,1303,35.05586697131219,0,1,0,1,B,TR,1,bGIWOx,49955803,8488610,17
bGKINx,Green Kingfisher,Chloroceryle americana,22683652.0,Green Kingfisher,Chloroceryle americana,Native,LC,increasing,0,1804,19.02560231639058,0,0,0,0,A,A,0,bGKINx,40165093,595256,1
bGKISx,Great Kiskadee,Pitangus sulphuratus,22700605.0,Great Kiskadee,Pitangus sulphuratus,Native,LC,increasing,0,566,51.864837375512714,0,0,0,0,A,A,0,bGKISx,38333428,485439,1
bGLGUx,Glaucous Gull,Larus hyperboreus,22694343.0,Glaucous Gull,Larus hyperboreus,Native,LC,stable,0,4362,35.370196361296465,0,0,0,0,A,A,0,bGLGUx,337679028,9735643,3
bGLIBx,Glossy Ibis,Plegadis falcinellus,22697422.0,Glossy Ibis,Plegadis falcinellus,Native,LC,decreasing,1,2397,14.98250914535126,0,0,0,0,D,DD,1,bGLIBx,57444928,12624717,22
bGOEAx,Golden Eagle,Aquila chrysaetos,22696060.0,Golden Eagle,Aquila chrysaetos,Native,LC,stable,0,60679,35.0135838445392,0,0,0,0,A,A,0,bGOEAx,2324722043,265751206,11
bGRAJx,Gray Jay,Perisoreus canadensis,22705783.0,Grey Jay,Perisoreus canadensis,Native,LC,stable,0,9932,30.267418840544877,0,0,0,0,A,A,0,bGRAJx,288679222,55494805,19
bGRAKx,Gray Kingbird,Tyrannus dominicensis,22700509.0,Grey Kingbird,Tyrannus dominicensis,Native,LC,stable,0,385,14.989563608588213,0,0,0,0,A,A,0,bGRAKx,12630740,3903364,31
bGRAPx,Gray Partridge,Perdix perdix,22678911.0,Grey Partridge,Perdix perdix,Introduced,LC,decreasing,0,21892,56.36409448246603,0,0,0,0,X,X,0,bGRAPx,1279596374,28743141,2
bGRCAx,Gray Catbird,Dumetella carolinensis,22711013.0,Grey Catbird,Dumetella carolinensis,Native,LC,stable,0,61240,17.271377121938063,0,0,0,0,A,A,0,bGRCAx,1079094759,59137667,5
bGRCOx,Great Cormorant,Phalacrocorax carbo,22696792.0,Great Cormorant,Phalacrocorax carbo,Native,LC,increasing,0,634,13.879664088869893,0,0,0,0,A,A,0,bGRCOx,12704340,715763,6
bGREGx,Great Egret,Ardea alba,22697043.0,Great White Egret,Ardea alba,Native,LC,unknown,0,23021,13.653637856592386,0,0,0,0,A,A,0,bGREGx,383118575,39230415,10
