gapSppCode,gapSciName,gapComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,iucnOgn
bCONWx,Oporornis agilis,Connecticut Warbler,22721818,Oporornis agilis,Connecticut Warbler,LC,decreasing,Native
bCOPAx,Nyctidromus albicollis,Common Pauraque,22689731,Nyctidromus albicollis,Pauraque,LC,decreasing,Native
bCOPOx,Phalaenoptilus nuttallii,Common Poorwill,22689735,Phalaenoptilus nuttallii,Common Poorwill,LC,increasing,Native
bCORAx,Corvus corax,Common Raven,22706068,Corvus corax,Common Raven,LC,increasing,Native
bCOREx,Carduelis flammea,Common Redpoll,22725044,Acanthis flammea,Redpoll,LC,decreasing,Native
bCOTEx,Sterna hirundo,Common Tern,22694623,Sterna hirundo,Common Tern,LC,unknown,Native
bCOYEx,Geothlypis trichas,Common Yellowthroat,22721836,Geothlypis trichas,Common Yellowthroat,LC,stable,Native
bCRCAx,Caracara cheriway,Crested Caracara,22696255,Caracara cheriway,Crested Caracara,LC,increasing,Native
bCRTHx,Toxostoma crissale,Crissal Thrasher,22711127,Toxostoma crissale,Crissal Thrasher,LC,stable,Native
bCSWAx,Dendroica pensylvanica,Chestnut-sided Warbler,22721664,Setophaga pensylvanica,Chestnut-sided Warbler,LC,decreasing,Native
bCWWIx,Caprimulgus carolinensis,Chuck-will's-widow,22689778,Antrostomus carolinensis,Chuck-will's-widow,NT,decreasing,Native
bDCCOx,Phalacrocorax auritus,Double-crested Cormorant,22696776,Nannopterum auritus,Double-crested Cormorant,LC,increasing,Native
bDCFLx,Myiarchus tuberculifer,Dusky-capped Flycatcher,22700399,Myiarchus tuberculifer,Dusky-capped Flycatcher,LC,decreasing,Native
bDEJUx,Junco hyemalis,Dark-eyed Junco,22721097,Junco hyemalis,Dark-eyed Junco,LC,stable,Native
bDICKx,Spiza americana,Dickcissel,22723796,Spiza americana,Dickcissel,LC,stable,Native
bDOVEx,Alle alle,Dovekie,22694837,Alle alle,Little Auk,LC,decreasing,Native
bDOWOx,Picoides pubescens,Downy Woodpecker,22681155,Dryobates pubescens,Downy Woodpecker,LC,stable,Native
bDUFLx,Empidonax oberholseri,Dusky Flycatcher,22699864,Empidonax oberholseri,American Dusky Flycatcher,LC,decreasing,Native
bDUGRx,Dendragapus obscurus,Dusky Grouse,22734690,Dendragapus obscurus,Dusky Grouse,LC,decreasing,Native
bDUNLx,Calidris alpina,Dunlin,22693427,Calidris alpina,Dunlin,LC,decreasing,Native
bEABLx,Sialia sialis,Eastern Bluebird,22708550,Sialia sialis,Eastern Bluebird,LC,increasing,Native
bEAGRx,Podiceps nigricollis,Eared Grebe,22696610,Podiceps nigricollis,Black-necked Grebe,LC,unknown,Native
bEAKIx,Tyrannus tyrannus,Eastern Kingbird,22700506,Tyrannus tyrannus,Eastern Kingbird,LC,decreasing,Native
bEAMEx,Sturnella magna,Eastern Meadowlark,22735434,Sturnella magna,Eastern Meadowlark,NT,increasing,Native
bEAPHx,Sayornis phoebe,Eastern Phoebe,22699886,Sayornis phoebe,Eastern Phoebe,LC,increasing,Native
bEASOx,Megascops asio,Eastern Screech-owl,22688758,Megascops asio,Eastern Screech-owl,LC,increasing,Native
bEATOx,Pipilo erythrophthalmus,Eastern Towhee,22721310,Pipilo erythrophthalmus,Eastern Towhee,LC,stable,Native
bEAWPx,Contopus virens,Eastern Wood-pewee,22699816,Contopus virens,Eastern Wood-pewee,LC,decreasing,Native
bELOWx,Micrathene whitneyi,Elf Owl,22689325,Micrathene whitneyi,Elf Owl,LC,decreasing,Native
bELTEx,Thalasseus elegans,Elegant Tern,22694552,Thalasseus elegans,Elegant Tern,NT,stable,Native
bETSPx,Passer montanus,Eurasian Tree Sparrow,22718270,Passer montanus,Eurasian Tree Sparrow,LC,decreasing,Introduced
bEUCDx,Streptopelia decaocto,Eurasian Collared-dove,22727811,Streptopelia decaocto,Eurasian Collared-dove,LC,increasing,Introduced
bEUSTx,Sturnus vulgaris,European Starling,22710886,Sturnus vulgaris,Common Starling,LC,decreasing,Introduced
bEUWIx,Anas penelope,Eurasian Wigeon,22680157,Mareca penelope,Eurasian Wigeon,LC,decreasing,Native
bEVGRx,Coccothraustes vespertinus,Evening Grosbeak,22720702,Hesperiphona vespertina,Evening Grosbeak,VU,decreasing,Native
bEWCSx,Zonotrichia leucophrys,White-crowned Sparrow,22721088,Zonotrichia leucophrys,White-crowned Sparrow,LC,stable,Native
bFEHAx,Buteo regalis,Ferruginous Hawk,22695970,Buteo regalis,Ferruginous Hawk,LC,increasing,Native
bFEPOx,Glaucidium brasilianum,Ferruginous Pygmy-owl,61815999,Glaucidium brasilianum,Ferruginous Pygmy-owl,LC,decreasing,Native
bFICRx,Corvus ossifragus,Fish Crow,22705993,Corvus ossifragus,Fish Crow,LC,increasing,Native
bFISPx,Spizella pusilla,Field Sparrow,22721179,Spizella pusilla,Field Sparrow,LC,decreasing,Native
bFLOWx,Otus flammeolus,Flammulated Owl,22688637,Psiloscops flammeolus,Flammulated Owl,LC,decreasing,Native
bFLSJx,Aphelocoma coerulescens,Florida Scrub-jay,22705629,Aphelocoma coerulescens,Florida Scrub-jay,VU,decreasing,Native
bFOSPx,Passerella iliaca,Fox Sparrow,103779110,Passerella iliaca,Red Fox-sparrow,LC,stable,Native
bFOTEx,Sterna forsteri,Forster's Tern,22694646,Sterna forsteri,Forster's Tern,LC,increasing,Native
bFRGUx,Leucophaeus pipixcan,Franklin's Gull,22694462,Larus pipixcan,Franklin's Gull,LC,increasing,Native
bFSSPx,Aimophila quinquestriata,Five-striped Sparrow,22721200,Amphispiza quinquestriata,Five-striped Sparrow,LC,stable,Native
bFTSPx,Oceanodroma furcata,Fork-tailed Storm-petrel,22698572,Hydrobates furcatus,Fork-tailed Storm-petrel,LC,increasing,Native
bFUWDx,Dendrocygna bicolor,Fulvous Whistling-duck,22679746,Dendrocygna bicolor,Fulvous Whistling-duck,LC,decreasing,Native
bGADWx,Anas strepera,Gadwall,22680149,Mareca strepera,Gadwall,LC,increasing,Native
bGAQUx,Callipepla gambelii,Gambel's Quail,22679609,Callipepla gambelii,Gambel's Quail,LC,stable,Native
bGBANx,Crotophaga sulcirostris,Groove-billed Ani,22684438,Crotophaga sulcirostris,Groove-billed Ani,LC,decreasing,Native
bGBBGx,Larus marinus,Great Black-backed Gull,22694324,Larus marinus,Great Black-backed Gull,LC,unknown,Native
bGBHEx,Ardea herodias,Great Blue Heron,22696998,Ardea herodias,Great Blue Heron,LC,increasing,Native
bGBTEx,Gelochelidon nilotica,Gull-billed Tern,62026481,Gelochelidon nilotica,Common Gull-billed Tern,LC,decreasing,Native
bGCFLx,Myiarchus crinitus,Great Crested Flycatcher,22700433,Myiarchus crinitus,Great Crested Flycatcher,LC,stable,Native
bGCKIx,Regulus satrapa,Golden-crowned Kinglet,22712594,Regulus satrapa,Golden-crowned Kinglet,LC,increasing,Native
bGCRFx,Leucosticte tephrocotis,Gray-crowned Rosy-finch,22720482,Leucosticte tephrocotis,Grey-crowned Rosy-Finch,LC,stable,Native
bGCSPx,Zonotrichia atricapilla,Golden-crowned Sparrow,22721091,Zonotrichia atricapilla,Golden-crowned Sparrow,LC,increasing,Native
bGCWAx,Dendroica chrysoparia,Golden-cheeked Warbler,22721692,Setophaga chrysoparia,Golden-cheeked Warbler,EN,decreasing,Native
bGFWOx,Melanerpes aurifrons,Golden-fronted Woodpecker,22680862,Melanerpes aurifrons,Golden-fronted Woodpecker,LC,stable,Native
bGGOWx,Strix nebulosa,Great Gray Owl,22689118,Strix nebulosa,Great Grey Owl,LC,increasing,Native
bGHOWx,Bubo virginianus,Great Horned Owl,61752071,Bubo virginianus,Great Horned Owl,LC,stable,Native
bGIFLx,Colaptes chrysoides,Gilded Flicker,22681290,Colaptes chrysoides,Gilded Flicker,LC,decreasing,Native
bGIWOx,Melanerpes uropygialis,Gila Woodpecker,22680853,Melanerpes uropygialis,Gila Woodpecker,LC,stable,Native
bGKINx,Chloroceryle americana,Green Kingfisher,22683652,Chloroceryle americana,Green Kingfisher,LC,increasing,Native
bGKISx,Pitangus sulphuratus,Great Kiskadee,22700605,Pitangus sulphuratus,Great Kiskadee,LC,increasing,Native
bGLGUx,Larus hyperboreus,Glaucous Gull,22694343,Larus hyperboreus,Glaucous Gull,LC,stable,Native
bGLIBx,Plegadis falcinellus,Glossy Ibis,22697422,Plegadis falcinellus,Glossy Ibis,LC,decreasing,Native
bGOEAx,Aquila chrysaetos,Golden Eagle,22696060,Aquila chrysaetos,Golden Eagle,LC,stable,Native
bGRAJx,Perisoreus canadensis,Gray Jay,22705783,Perisoreus canadensis,Grey Jay,LC,decreasing,Native
bGRAKx,Tyrannus dominicensis,Gray Kingbird,22700509,Tyrannus dominicensis,Grey Kingbird,LC,stable,Native
bGRAPx,Perdix perdix,Gray Partridge,22678911,Perdix perdix,Grey Partridge,LC,decreasing,Introduced
bGRCAx,Dumetella carolinensis,Gray Catbird,22711013,Dumetella carolinensis,Grey Catbird,LC,stable,Native
bGRCOx,Phalacrocorax carbo,Great Cormorant,22696792,Phalacrocorax carbo,Great Cormorant,LC,increasing,Native
bGREGx,Ardea alba,Great Egret,22697043,Ardea alba,Great White Egret,LC,unknown,Native
bGREJx,Cyanocorax yncas,Green Jay,22705738,Cyanocorax yncas,Green Jay,LC,increasing,Native
bGRFLx,Empidonax wrightii,Gray Flycatcher,22699860,Empidonax wrightii,American Grey Flycatcher,LC,increasing,Native
bGRHEx,Butorides virescens,Green Heron,22728182,Butorides striata,Green-backed Heron,LC,decreasing,Native
bGRPCx,Tympanuchus cupido,Greater Prairie-chicken,22679514,Tympanuchus cupido,Greater Prairie-chicken,VU,decreasing,Native
bGRPEx,Contopus pertinax,Greater Pewee,22699798,Contopus pertinax,Greater Pewee,LC,decreasing,Native
bGRROx,Geococcyx californianus,Greater Roadrunner,22684458,Geococcyx californianus,Greater Roadrunner,LC,stable,Native
bGRSCx,Aythya marila,Greater Scaup,22680398,Aythya marila,Greater Scaup,LC,decreasing,Native
bGRSGx,Centrocercus urophasianus,Greater Sage-grouse,22679503,Centrocercus urophasianus,Sage Grouse,NT,decreasing,Native
bGRSPx,Ammodramus savannarum,Grasshopper Sparrow,22721144,Ammodramus savannarum,Grasshopper Sparrow,LC,decreasing,Native
bGRVIx,Vireo vicinior,Gray Vireo,22705209,Vireo vicinior,Grey Vireo,LC,increasing,Native
bGRWAx,Dendroica graciae,Grace's Warbler,22721708,Setophaga graciae,Grace's Warbler,LC,decreasing,Native
bGRYEx,Tringa melanoleuca,Greater Yellowlegs,22693231,Tringa melanoleuca,Greater Yellowlegs,LC,stable,Native
bGTGRx,Quiscalus mexicanus,Great-tailed Grackle,22724308,Quiscalus mexicanus,Great-tailed Grackle,LC,stable,Native
bGTTOx,Pipilo chlorurus,Green-tailed Towhee,22721304,Pipilo chlorurus,Green-tailed Towhee,LC,stable,Native
bGUSGx,Centrocercus minimus,Gunnison Sage-grouse,22728472,Centrocercus minimus,Gunnison Grouse ,EN,decreasing,Native
bGWFGx,Anser albifrons,Greater White-fronted Goose,22679881,Anser albifrons,Greater White-fronted Goose,LC,unknown,Native
bGWGUx,Larus glaucescens,Glaucous-winged Gull,22694334,Larus glaucescens,Glaucous-winged Gull,LC,increasing,Native
bGWTEx,Anas crecca,Green-winged Teal,22729717,Anas crecca,Common Teal,LC,unknown,Native
bGWWAx,Vermivora chrysoptera,Golden-winged Warbler,22721618,Vermivora chrysoptera,Golden-winged Warbler,NT,decreasing,Native
bGYRFx,Falco rusticolus,Gyrfalcon,22696500,Falco rusticolus,Gyrfalcon,LC,stable,Native
bHADUx,Histrionicus histrionicus,Harlequin Duck,22680423,Histrionicus histrionicus,Harlequin Duck,LC,increasing,Native
bHAFLx,Empidonax hammondii,Hammond's Flycatcher,22699857,Empidonax hammondii,Hammond's Flycatcher,LC,increasing,Native
bHASHx,Parabuteo unicinctus,Harris's Hawk,22695838,Parabuteo unicinctus,Harris's Hawk,LC,decreasing,Native
bHASPx,Zonotrichia querula,Harris's Sparrow,22721082,Zonotrichia querula,Harris's Sparrow,NT,decreasing,Native
bHAWOx,Picoides villosus,Hairy Woodpecker,22681166,Leuconotopicus villosus,Hairy Woodpecker,LC,increasing,Native
bHBKIx,Chondrohierax uncinatus,Hook-billed Kite,22694971,Chondrohierax uncinatus,Hook-billed Kite,LC,decreasing,Native
bHEEGx,Larus heermanni,Heermann's Gull,22694296,Larus heermanni,Heermann's Gull,NT,unknown,Native
bHESPx,Ammodramus henslowii,Henslow's Sparrow,22721138,Passerculus henslowii,Henslow's Sparrow,LC,increasing,Native
bHETAx,Piranga flava,Hepatic Tanager,103811627,Piranga hepatica,Hepatic Tanager,LC,increasing,Native
bHETHx,Catharus guttatus,Hermit Thrush,22708667,Catharus guttatus,Hermit Thrush,LC,increasing,Native
bHEWAx,Dendroica occidentalis,Hermit Warbler,22721686,Setophaga occidentalis,Hermit Warbler,LC,stable,Native
bHOFIx,Carpodacus mexicanus,House Finch,22720563,Haemorhous mexicanus,House Finch,LC,increasing,Native
bHOGRx,Podiceps auritus,Horned Grebe,22696606,Podiceps auritus,Horned Grebe,VU,decreasing,Native
bHOLAx,Eremophila alpestris,Horned Lark,22717434,Eremophila alpestris,Horned Lark,LC,decreasing,Native
bHOMEx,Lophodytes cucullatus,Hooded Merganser,22680472,Lophodytes cucullatus,Hooded Merganser,LC,increasing,Native
bHOORx,Icterus cucullatus,Hooded Oriole,22724131,Icterus cucullatus,Hooded Oriole,LC,increasing,Native
bHOSPx,Passer domesticus,House Sparrow,103818789,Passer domesticus,House Sparrow,LC,decreasing,Native
bHOWAx,Wilsonia citrina,Hooded Warbler,22721876,Setophaga citrina,Hooded Warbler,LC,increasing,Native
bHOWRx,Troglodytes aedon,House Wren,103886826,Troglodytes aedon,House Wren,LC,increasing,Native
bHUVIx,Vireo huttoni,Hutton's Vireo,22705182,Vireo huttoni,Hutton's Vireo,LC,stable,Native
bICGUx,Larus glaucoides,Iceland Gull,22729877,Larus glaucoides,Iceland Gull,LC,stable,Native
bINBUx,Passerina cyanea,Indigo Bunting,22723951,Passerina cyanea,Indigo Bunting,LC,decreasing,Native
bINDOx,Columbina inca,Inca Dove,22690762,Columbina inca,Inca Dove,LC,increasing,Native
bISSJx,Aphelocoma insularis,Island Scrub-jay,103727785,Aphelocoma californica,Western Scrub-jay,LC,stable,Native
bKEWAx,Oporornis formosus,Kentucky Warbler,22721812,Geothlypis formosa,Kentucky Warbler,LC,decreasing,Native
bKIEIx,Somateria spectabilis,King Eider,22680409,Somateria spectabilis,King Eider,LC,decreasing,Native
bKILLx,Charadrius vociferus,Killdeer,22693777,Charadrius vociferus,Killdeer,LC,decreasing,Native
bKIRAx,Rallus elegans,King Rail,62155060,Rallus elegans,King Rail,NT,decreasing,Native
bKIWAx,Dendroica kirtlandii,Kirtland's Warbler,22721722,Setophaga kirtlandii,Kirtland's Warbler,NT,increasing,Native
bLAGOx,Carduelis lawrencei,Lawrence's Goldfinch,22720413,Spinus lawrencei,Lawrence's Goldfinch,LC,decreasing,Native
bLAGUx,Leucophaeus atricilla,Laughing Gull,22694455,Larus atricilla,Laughing Gull,LC,increasing,Native
bLALOx,Calcarius lapponicus,Lapland Longspur,22721033,Calcarius lapponicus,Lapland Longspur,LC,increasing,Native
bLARBx,Calamospiza melanocorys,Lark Bunting,22721049,Calamospiza melanocorys,Lark Bunting,LC,decreasing,Native
bLASPx,Chondestes grammacus,Lark Sparrow,22721191,Chondestes grammacus,Lark Sparrow,LC,decreasing,Native
bLAZBx,Passerina amoena,Lazuli Bunting,22723948,Passerina amoena,Lazuli Bunting,LC,increasing,Native
bLBBGx,Larus fuscus,Lesser Black-backed Gull,22694373,Larus fuscus,Lesser Black-backed Gull,LC,increasing,Native
bLBCUx,Numenius americanus,Long-billed Curlew,22693195,Numenius americanus,Long-billed Curlew,LC,decreasing,Native
bLBDOx,Limnodromus scolopaceus,Long-billed Dowitcher,22693348,Limnodromus scolopaceus,Long-billed Dowitcher,LC,unknown,Native
bLBHEx,Egretta caerulea,Little Blue Heron,22696944,Egretta caerulea,Little Blue Heron,LC,decreasing,Native
bLBTHx,Toxostoma longirostre,Long-billed Thrasher,22711102,Toxostoma longirostre,Long-billed Thrasher,LC,increasing,Native
bLBWOx,Picoides scalaris,Ladder-backed Woodpecker,22681152,Dryobates scalaris,Ladder-backed Woodpecker,LC,stable,Native
bLCSPx,Ammodramus leconteii,Le Conte's Sparrow,22721135,Ammospiza leconteii,Le Conte's Sparrow,LC,decreasing,Native
bLCTHx,Toxostoma lecontei,Le Conte's Thrasher,22711121,Toxostoma lecontei,Le Conte's Thrasher,LC,stable,Native
bLEBIx,Ixobrychus exilis,Least Bittern,22697314,Ixobrychus exilis,Least Bittern,LC,stable,Native
bLEFLx,Empidonax minimus,Least Flycatcher,22699854,Empidonax minimus,Least Flycatcher,LC,decreasing,Native
bLEGOx,Carduelis psaltria,Lesser Goldfinch,22720410,Spinus psaltria,Lesser Goldfinch,LC,decreasing,Native
bLEGRx,Tachybaptus dominicus,Least Grebe,22696571,Tachybaptus dominicus,Least Grebe,LC,stable,Native
bLENIx,Chordeiles acutipennis,Lesser Nighthawk,22689711,Chordeiles acutipennis,Lesser Nighthawk,LC,increasing,Native
bLEOWx,Asio otus,Long-eared Owl,22689507,Asio otus,Northern Long-eared Owl,LC,decreasing,Native
bLEPCx,Tympanuchus pallidicinctus,Lesser Prairie-chicken,22679519,Tympanuchus pallidicinctus,Lesser Prairie-chicken,VU,decreasing,Native
bLESAx,Calidris minutilla,Least Sandpiper,22693396,Calidris minutilla,Least Sandpiper,LC,decreasing,Native
bLESCx,Aythya affinis,Lesser Scaup,22680402,Aythya affinis,Lesser Scaup,LC,decreasing,Native
bLESPx,Oceanodroma leucorhoa,Leach's Storm-petrel,132438298,Hydrobates leucorhous,Leach's Storm-petrel,VU,decreasing,Native
bLETEx,Sternula antillarum,Least Tern,22694673,Sternula antillarum,Least Tern,LC,decreasing,Native
bLEWOx,Melanerpes lewis,Lewis's Woodpecker,22680801,Melanerpes lewis,Lewis's Woodpecker,LC,decreasing,Native
bLEYEx,Tringa flavipes,Lesser Yellowlegs,22693235,Tringa flavipes,Lesser Yellowlegs,LC,decreasing,Native
bLIGUx,Hydrocoloeus minutus,Little Gull,22694469,Hydrocoloeus minutus,Little Gull,LC,increasing,Native
bLIMPx,Aramus guarauna,Limpkin,22692174,Aramus guarauna,Limpkin,LC,stable,Native
bLISPx,Melospiza lincolnii,Lincoln's Sparrow,22721064,Melospiza lincolnii,Lincoln's Sparrow,LC,stable,Native
bLOSHx,Lanius ludovicianus,Loggerhead Shrike,22705042,Lanius ludovicianus,Loggerhead Shrike,NT,decreasing,Native
bLOWAx,Seiurus motacilla,Louisiana Waterthrush,22721803,Parkesia motacilla,Louisiana Waterthrush,LC,increasing,Native
bLTDUx,Clangula hyemalis,Long-tailed Duck,22680427,Clangula hyemalis,Long-tailed Duck,VU,decreasing,Native
bLUHUx,Calothorax lucifer,Lucifer Hummingbird,22688185,Calothorax lucifer,Lucifer Hummingbird,LC,stable,Native
bLUWAx,Vermivora luciae,Lucy's Warbler,22721636,Leiothlypis luciae,Lucy's Warbler,LC,stable,Native
bMABOx,Sula dactylatra,Masked Booby,22736173,Sula dactylatra,Masked Booby,LC,decreasing,Native
bMACUx,Coccyzus minor,Mangrove Cuckoo,22684337,Coccyzus minor,Mangrove Cuckoo,LC,stable,Native
bMADUx,Nomonyx dominicus,Masked Duck,22679789,Nomonyx dominicus,Masked Duck,LC,decreasing,Native
bMAFRx,Fregata magnificens,Magnificent Frigatebird,22697724,Fregata magnificens,Magnificent Frigatebird,LC,increasing,Native
bMAGOx,Limosa fedoa,Marbled Godwit,22693162,Limosa fedoa,Marbled Godwit,LC,decreasing,Native
bMAHUx,Eugenes fulgens,Magnificent Hummingbird,22687746,Eugenes fulgens,Magnificent Hummingbird,LC,increasing,Native
bMALLx,Anas platyrhynchos,Mallard,22680186,Anas platyrhynchos,Mallard,LC,increasing,Native
bMAMUx,Brachyramphus marmoratus,Marbled Murrelet,22694870,Brachyramphus marmoratus,Marbled Murrelet,EN,decreasing,Native
bMASHx,Puffinus puffinus,Manx Shearwater,22698226,Puffinus puffinus,Manx Shearwater,LC,unknown,Native
bMAWAx,Dendroica magnolia,Magnolia Warbler,22721667,Setophaga magnolia,Magnolia Warbler,LC,increasing,Native
bMAWRx,Cistothorus palustris,Marsh Wren,22711374,Cistothorus palustris,Marsh Wren,LC,increasing,Native
bMCLOx,Calcarius mccownii,Mccown's Longspur,22721025,Rhynchophanes mccownii,McCown's Longspur,LC,decreasing,Native
bMECHx,Poecile sclateri,Mexican Chickadee,22711732,Poecile sclateri,Mexican Chickadee,LC,decreasing,Native
bMEGUx,Larus canus,Mew Gull,22694308,Larus canus,Mew Gull,LC,unknown,Native
bMEJAx,Aphelocoma ultramarina,Mexican Jay,22724967,Aphelocoma wollweberi,Mexican Jay,LC,decreasing,Native
bMERLx,Falco columbarius,Merlin,22696453,Falco columbarius,Merlin,LC,stable,Native
bMGWAx,Oporornis tolmiei,Macgillivray's Warbler,22721830,Geothlypis tolmiei,MacGillivray's Warbler,LC,decreasing,Native
bMIKIx,Ictinia mississippiensis,Mississippi Kite,22695066,Ictinia mississippiensis,Mississippi Kite,LC,increasing,Native
bMOBLx,Sialia currucoides,Mountain Bluebird,22708556,Sialia currucoides,Mountain Bluebird,LC,increasing,Native
bMOCHx,Poecile gambeli,Mountain Chickadee,22711724,Poecile gambeli,Mountain Chickadee,LC,stable,Native
bMODOx,Zenaida macroura,Mourning Dove,22690736,Zenaida macroura,Mourning Dove,LC,increasing,Native
bMODUx,Anas fulvigula,Mottled Duck,22680178,Anas fulvigula,Mottled Duck,LC,decreasing,Native
bMONQx,Cyrtonyx montezumae,Montezuma Quail,22728212,Cyrtonyx montezumae,Montezuma Quail,LC,stable,Native
bMOPAx,Myiopsitta monachus,Monk Parakeet,45427277,Myiopsitta monachus,Monk Parakeet,LC,increasing,Native
bMOPLx,Charadrius montanus,Mountain Plover,22693876,Charadrius montanus,Mountain Plover,NT,decreasing,Native
bMOUQx,Oreortyx pictus,Mountain Quail,22679591,Oreortyx pictus,Mountain Quail,LC,stable,Native
bMOWAx,Oporornis philadelphia,Mourning Warbler,22721824,Geothlypis philadelphia,Mourning Warbler,LC,decreasing,Native
bMUDUx,Cairina moschata,Muscovy Duck,22680061,Cairina moschata,Muscovy Duck,LC,decreasing,Native
bMUSWx,Cygnus olor,Mute Swan,22679839,Cygnus olor,Mute Swan,LC,increasing,Introduced
bNAWAx,Vermivora ruficapilla,Nashville Warbler,22721627,Leiothlypis ruficapilla,Nashville Warbler,LC,increasing,Native
bNECOx,Phalacrocorax brasilianus,Neotropic Cormorant,22696773,Nannopterum brasilianus,Neotropical Cormorant,LC,increasing,Native
bNOBOx,Colinus virginianus,Northern Bobwhite,22728956,Colinus virginianus,Northern Bobwhite,NT,decreasing,Native
bNOBTx,Camptostoma imberbe,Northern Beardless-tyrannulet,22699177,Camptostoma imberbe,Northern Beardless Tyrannulet,LC,increasing,Native
bNOCAx,Cardinalis cardinalis,Northern Cardinal,22723819,Cardinalis cardinalis,Northern Cardinal,LC,stable,Native
bNOCRx,Corvus caurinus,Northwestern Crow,22705986,Corvus caurinus,Northwestern Crow,LC,increasing,Native
bNOFLx,Colaptes auratus,Northern Flicker,22726404,Colaptes auratus,Yellow-shafted Flicker,LC,decreasing,Native
bNOGOx,Accipiter gentilis,Northern Goshawk,22695683,Accipiter gentilis,Northern Goshawk,LC,unknown,Native
bNOHAx,Circus cyaneus,Northern Harrier,22727740,Circus hudsonius,Northern Harrier,LC,decreasing,Native
bNOMOx,Mimus polyglottos,Northern Mockingbird,22711026,Mimus polyglottos,Northern Mockingbird,LC,stable,Native
bNOPAx,Parula americana,Northern Parula,22721639,Setophaga americana,Northern Parula,LC,increasing,Native
bNOPIx,Anas acuta,Northern Pintail,22680301,Anas acuta,Northern Pintail,LC,decreasing,Native
bNOPOx,Glaucidium gnoma,Northern Pygmy-owl,61791401,Glaucidium californicum,Northern Pygmy-owl,LC,increasing,Native
bNOWAx,Seiurus noveboracensis,Northern Waterthrush,22721793,Parkesia noveboracensis,Northern Waterthrush,LC,stable,Native
bNRWSx,Stelgidopteryx serripennis,Northern Rough-winged Swallow,22712152,Stelgidopteryx serripennis,Northern Rough-winged Swallow,LC,decreasing,Native
bNSHOx,Anas clypeata,Northern Shoveler,22680247,Spatula clypeata,Northern Shoveler,LC,decreasing,Native
bNSTSx,Ammodramus nelsoni,Nelson's Sharp-tailed Sparrow,22728393,Ammospiza nelsoni,Nelson's Sparrow,LC,stable,Native
bNSWOx,Aegolius acadicus,Northern Saw-whet Owl,22689366,Aegolius acadicus,Northern Saw-whet Owl,LC,decreasing,Native
bNUWOx,Picoides nuttallii,Nuttall's Woodpecker,22681149,Dryobates nuttallii,Nuttall's Woodpecker,LC,increasing,Native
bOATIx,Baeolophus inornatus,Oak Titmouse,22711978,Baeolophus inornatus,Oak Titmouse,LC,stable,Native
bOCWAx,Vermivora celata,Orange-crowned Warbler,22721624,Leiothlypis celata,Orange-crowned Warbler,LC,increasing,Native
bOLSPx,Arremonops rufivirgatus,Olive Sparrow,22721392,Arremonops rufivirgatus,Olive Sparrow,LC,increasing,Native
bOLWAx,Peucedramus taeniatus,Olive Warbler,22720027,Peucedramus taeniatus,Olive Warbler,LC,decreasing,Native
bORORx,Icterus spurius,Orchard Oriole,103793298,Icterus spurius,Orchard Oriole,LC,stable,Native
bOSFLx,Contopus cooperi,Olive-sided Flycatcher,22699787,Contopus cooperi,Olive-sided Flycatcher,NT,decreasing,Native
bOSPRx,Pandion haliaetus,Osprey,22694938,Pandion haliaetus,Osprey,LC,increasing,Native
bOVENx,Seiurus aurocapilla,Ovenbird,22721779,Seiurus aurocapilla,Ovenbird,LC,stable,Native
bPABUx,Passerina ciris,Painted Bunting,22723957,Passerina ciris,Painted Bunting,LC,stable,Native
bPAGPx,Pluvialis fulva,Pacific Golden-plover,22693735,Pluvialis fulva,Pacific Golden Plover,LC,decreasing,Native
bPAJAx,Stercorarius parasiticus,Parasitic Jaeger,22694245,Stercorarius parasiticus,Arctic Jaeger,LC,stable,Native
bPALOx,Gavia pacifica,Pacific Loon,22697839,Gavia pacifica,Pacific Loon,LC,increasing,Native
bPAREx,Myioborus pictus,Painted Redstart,22721894,Myioborus pictus,Painted Whitestart,LC,increasing,Native
bPAWAx,Dendroica palmarum,Palm Warbler,22721731,Setophaga palmarum,Palm Warbler,LC,increasing,Native
bPBGRx,Podilymbus podiceps,Pied-billed Grebe,22696574,Podilymbus podiceps,Pied-billed Grebe,LC,stable,Native
bPECOx,Phalacrocorax pelagicus,Pelagic Cormorant,22728950,Urile pelagicus,Pelagic Cormorant,LC,decreasing,Native
bPEFAx,Falco peregrinus,Peregrine Falcon,45354964,Falco peregrinus,Peregrine Falcon,LC,stable,Native
bPHAIx,Phainopepla nitens,Phainopepla,22708139,Phainopepla nitens,Phainopepla,LC,stable,Native
bPHVIx,Vireo philadelphicus,Philadelphia Vireo,22705240,Vireo philadelphicus,Philadelphia Vireo,LC,increasing,Native
bPIGRx,Pinicola enucleator,Pine Grosbeak,22720625,Pinicola enucleator,Pine Grosbeak,LC,decreasing,Native
bPIGUx,Cepphus columba,Pigeon Guillemot,22694864,Cepphus columba,Pigeon Guillemot,LC,stable,Native
bPIJAx,Gymnorhinus cyanocephalus,Pinyon Jay,22705608,Gymnorhinus cyanocephalus,Pinyon Jay,VU,decreasing,Native
bPIPLx,Charadrius melodus,Piping Plover,22693811,Charadrius melodus,Piping Plover,NT,increasing,Native
